designation,HIP,simbad_HIP,simbad_HD,in_Simbad,right_ascension,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 1099288637370627072,\N,\N,\N,1,104.49025985938316,62.31958026409372,87.24166697188599,0.13359119,573.1035,320.6363487935513,-475.0157378975831,1.3396655,13.639243000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1310513342280949376,\N,\N,\N,1,255.9714298650329,32.19621894378188,54.569915293710295,0.074405394,185.91763,170.8955220505247,73.21259911050043,2.1010897,12.822794000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 133359735268433024,\N,\N,\N,1,39.197658920120695,32.07221802870924,51.265098460703626,0.065807566,338.06256,-325.2703022428088,-92.1169019175888,1.1042223,12.650045000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1586968533013974528,\N,\N,\N,1,225.23315891676825,45.42719495066728,85.42722129196979,0.06552934,409.01892,258.24744856447086,317.18247525198007,1.7401166,11.717453000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1669449084967072000,\N,\N,\N,1,220.58818818669567,66.0555785489988,91.35668867831824,0.09077034,337.3069,-336.2959597766662,26.09528250714183,0.7411922,15.768858000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1807953087254264064,\N,\N,HD 190067B,1,300.64249299324354,15.589658963597556,51.874377452136166,0.05598409,594.32715,-145.69761856978803,-576.1917690275088,3.481979,12.654424000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1821614828476009344,\N,\N,\N,0,298.52862832791914,18.818112679551167,54.73497642459929,3.2616632,11.715346,0.8793541592269085,-11.682297999953317,1.6256008,20.418549000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1825712158557604352,\N,\N,\N,0,295.7648427250556,20.28011958895752,61.93897719476354,2.7870162,30.152554,1.945463626504475,-30.089726270893458,1.0758625,20.710290000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1827996187813279360,\N,\N,\N,0,297.7898608941253,22.759921619451,58.82913504124001,1.9791915,17.777634,-16.609601586643517,6.337619049128803,1.3070513,20.568031000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1892539307048909184,\N,\N,\N,1,333.63077733160594,27.8575453431816,50.774529767698425,0.10101901,580.6293,-205.3580195536977,543.1007840985111,0.87800914,15.510378000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2021981409373336448,\N,\N,\N,0,295.17728787935164,26.114698280243225,76.22517661151069,2.7802272,104.3997,-21.53721004628196,102.15402972271367,1.2919466,20.698986000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2023983998015091584,\N,\N,\N,0,290.9002317412422,25.79043418028392,53.72872428002337,2.8399105,11.382916,-6.745352281757806,-9.169024207769665,1.8321393,20.831068000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2024942153671161472,\N,\N,\N,0,294.1981093163538,26.239292051446625,42.27520155467817,2.8305585,74.91346,-16.204152538055638,73.13994709518383,2.1134052,20.793224000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2034222547258288000,\N,\N,\N,1,298.98858039094154,32.25498380077847,55.06706897677228,0.96002907,673.51556,-383.25376493457696,-553.8409297804304,1.6634886,20.301674000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 211810233512673920,\N,\N,\N,1,79.35014604066659,45.83684161390765,75.18378634422855,0.05344913,420.38098,53.96645153206382,-416.9026177100576,1.0318148,11.640750000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2163558855915069824,\N,\N,HD 200560B,1,315.67347406448823,45.885430380973055,51.205410699887096,0.048008442,407.97733,378.87706912972766,151.319733881321,2.7696843,11.583294000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2617043665033973376,\N,\N,\N,1,329.0812484185544,-10.339541784096689,50.39047904916445,0.102111205,384.30585,-283.93663395172666,-258.9806453853882,0.6552312,14.605860000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 2759428634126128384,\N,\N,\N,1,357.6539217495241,9.949257098918551,50.80855501441288,0.11625294,649.0164,613.6245550532719,211.39350463442597,1.5659056,12.382194500000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3372159045217009920,\N,\N,HD 45088B,1,96.54174584642976,18.75666135439812,67.79338226262148,0.1761972,205.98848,-71.83298293497515,-193.05769600510635,3.3261182,10.395799000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3489338019474046720,\N,\N,HD 105452B,1,182.10297084694267,-24.72926444100704,66.22577613841631,0.17039588,64.30478,23.99000013353964,-59.66225167639152,2.235545,11.697051000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3489874340630661248,\N,\N,\N,1,183.53565753332592,-23.755029874500032,94.17662136293448,1.0774944,79.32441,58.66531921006669,53.39234046828061,1.046361,20.577303000000000000000000000000,20.421170000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3699797155055781760,\N,\N,\N,1,185.10668056500708,0.5836851086339531,56.81213571717324,0.16207355,129.04526,128.74203445628206,8.84131310556924,1.8429252,10.839606000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3825820772648802688,\N,\N,\N,1,146.5360707575591,-4.427614872539686,50.32885706762648,0.08174023,576.97437,-551.3032429478611,170.18857623836556,1.0247736,13.936210000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3934198156329808896,\N,\N,HD 110315B,1,190.27687507168417,15.374863959510288,69.93036564670213,0.41761416,456.99277,98.5767848999084,-446.23424992562775,5.0748987,12.853741000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 3943232534137347072,\N,\N,\N,1,196.563738426432,20.729254250519514,50.754620724350865,0.05721727,76.528564,-45.51594897894953,61.52169655026727,1.5939599,11.070571000000000000000000000000,\N,8.683837000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4039831777499368960,\N,\N,\N,0,266.75356473629233,-37.69815287553137,81.76966152425646,2.8950598,217.53766,-165.55420352078966,141.11851766121697,1.7293009,20.037308000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4041053231822960128,\N,\N,\N,0,266.6204976985477,-35.72235917057438,51.65470717935119,2.5183256,57.43282,-4.120578326061684,57.284810139259605,1.4048661,19.925434000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4041787121483029504,\N,\N,\N,0,266.31236920815206,-34.05907828906606,48.87958101762036,1.4748753,19.39052,13.463999855686138,13.953959459962425,2.8568301,19.689613000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4042288631957418496,\N,\N,\N,0,269.292822831544,-34.56375083985187,49.46395405209,2.2075834,18.588835,-16.152462824202118,9.200148424330871,2.031846,19.791285000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4043403300471915904,\N,\N,\N,0,267.9710767906414,-33.097628093170286,48.16801494043544,1.28666,9.301614,6.713942046693873,6.43762380241942,1.3864704,19.840805000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4059203007725676416,\N,\N,\N,0,259.99941790436384,-29.88531918587785,41.55287179457004,3.1251407,17.1382,-15.473756466013226,7.3675474842158595,1.6166735,20.299034000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4060791183517338112,\N,\N,\N,0,265.8519680143364,-27.342791817465656,45.384819912211135,1.9432639,22.369267,-19.04785466737808,11.72873770903343,1.7230909,20.016611000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4062783361232757632,\N,\N,\N,1,269.9823374640198,-27.638076060197918,59.4549827130922,1.1983685,136.52214,103.40904680687512,89.13397357686014,1.3258489,19.556583000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4064750765436152576,\N,\N,\N,0,273.36845781604273,-25.776230796976343,48.354172829357104,2.0145042,4.589369,-1.1133741013524814,4.452269568325674,1.8348589,19.577270000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4104800476473214976,\N,\N,\N,0,278.25769530586285,-13.209301017100191,47.99939866835489,1.8036714,60.40769,-50.14250749853496,33.68705614413934,2.9450488,19.215883000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4107529945404111360,\N,\N,\N,0,259.51847297850105,-28.533750873745475,62.92365807334812,1.6466343,8.888747,-6.456962522823191,-6.108802080293369,1.7708329,19.787502000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4114677389434590720,\N,\N,\N,0,259.6622417554194,-22.83283214087656,67.93565344487588,2.7046087,25.747015,-18.219223976253332,18.192544710908113,1.3889692,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4116553809180160384,\N,\N,\N,0,265.25542452722044,-22.85442233771414,52.048595282168144,2.4236367,31.96329,-30.01052327599365,11.000922989143174,1.5628539,20.339483000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4116983477716047488,\N,\N,\N,0,265.6750351236955,-22.26354706776428,52.45958451012481,1.7629701,4.975564,4.338186350643404,-2.436467817069244,1.7816578,19.727787000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4117204651270204928,\N,\N,\N,0,265.39600617400515,-21.74418307114116,44.361521711359885,2.096076,16.955696,-13.31067792464114,10.503403185994571,1.6650469,20.250418000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4118051137803030912,\N,\N,\N,0,264.0336738547481,-21.580824794759582,50.399241719465536,2.6158278,53.499733,-53.25973351207754,5.0618471644689125,1.5262128,19.863749000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4118754412916264704,\N,\N,\N,0,267.47066508514433,-20.980298390801018,54.85626274304737,2.410678,19.416239,-16.065564250807075,10.90357512924036,1.4778497,20.348560000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4119705348733117696,\N,\N,\N,0,266.22557949168606,-20.30865694443383,49.60766935628169,2.1223972,33.25182,-31.261268923808192,11.332109127595524,1.2326474,19.984222000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4120577918646709632,\N,\N,\N,0,266.9094809320814,-18.02052072967028,45.93499322624024,2.1198447,20.978556,-20.29942092159184,5.29465085064359,1.2819604,20.066053000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4120731334863900800,\N,\N,\N,0,266.75967539225513,-17.662274237021844,45.796601339382434,2.6958373,32.948597,-31.83897974337413,8.478756207139867,1.2758758,20.371605000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4123162733028699136,\N,\N,\N,0,264.7146905424108,-18.528223905648225,45.76125825113008,2.7725945,5.072896,-4.5982432517534715,2.1425295491985006,1.3045843,20.452175000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4123506089829039616,\N,\N,\N,0,264.8555899509744,-17.719204535445776,46.007331471255725,3.1233935,17.336927,-16.429374510803846,5.535766616877155,1.2058126,20.471943000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4124980981624504064,\N,\N,\N,0,265.06231458409354,-15.665588234845975,50.040350976791295,2.9894545,7.9143515,4.218717924702511,-6.696221257808404,1.302212,20.670315000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4145132555890838784,\N,\N,\N,1,270.0048284417198,-15.991307055710744,81.14618021342797,0.2193729,297.0057,-8.08624770698585,-296.89559601031965,0.9989054,\N,\N,16.909328000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4147894082398766080,\N,\N,\N,0,266.84864561621583,-16.369481124575092,42.66829126718532,2.471572,10.701807,-5.168687902428985,9.370877335900662,1.2343392,20.537890000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4158470937537419008,\N,\N,\N,0,271.0979716566396,-8.838555339948813,42.56295650067411,2.9567387,7.45709,-7.323184338523502,1.4068268667883224,1.6255014,20.525904000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4252345659839658880,\N,\N,\N,0,281.49154840985364,-6.977054280366804,45.70838063478165,1.8399327,25.518198,-25.247430608151447,3.707512470102335,1.435558,19.755878000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4252388162757350784,\N,\N,\N,0,282.61662445362515,-7.054997465410787,46.33355657486625,3.0498455,11.586768,4.557998179480053,-10.652597742158347,2.3063385,20.276348000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4255771256961780480,\N,\N,\N,0,284.20682945183154,-3.3326983879621355,63.65532028548186,2.467406,10.972576,-8.714156284103272,-6.667901965841264,1.5077192,20.119987000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4265415520171267968,\N,\N,\N,0,283.80727536960353,-0.5947991253170942,46.66580606651975,2.3590846,8.671791,-8.126895309014282,-3.0254810806589987,1.3896523,20.367100000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4268735529837136768,\N,\N,\N,0,285.44442824101776,2.73031252871063,49.443547668916224,1.647366,20.019253,-19.3221549553606,5.2368683616763745,1.2323145,20.040459000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4269379774976572160,\N,\N,\N,0,286.95038827170777,4.287781177750233,84.38761404741018,2.4856355,19.28438,-19.260338540374427,-0.9626455093940912,2.2140832,20.029032000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4271449399415019904,\N,\N,\N,1,275.2359400508666,-1.0535607111655672,56.217909246635614,0.04908373,1107.9949,-528.7143839698111,-973.711263528687,1.0356269,12.295122000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4283084190940885888,\N,\N,\N,1,279.04574539279565,3.2570365969799275,54.879839684143235,0.5764095,308.90594,255.0874810558715,174.2218574203679,1.1386391,19.897444000000000000000000000000,\N,18.201824000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 429297859741477888,\N,\N,\N,1,1.9308182403086505,60.38161993916557,65.21307301880952,0.12851872,368.6124,363.32183402517376,-62.22814734321896,1.2169175,12.988087000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4307917069079963520,\N,\N,\N,0,290.28460244607606,8.414965325886863,49.66240543268066,2.4369812,17.66808,-17.619881549916975,-1.304152367563506,2.042587,19.907840000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4312560959515687936,\N,\N,\N,0,286.0123452231708,10.81627582048736,42.43304580234558,3.3468115,8.11894,-5.157991274000636,-6.26995421105444,2.520267,20.463640000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4313112368918913024,\N,\N,\N,0,287.2473291267738,11.805881284506569,44.01821091400421,2.2981524,3.1700268,-0.5649979862486925,-3.1192703612320303,2.2018425,20.093605000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4315860014088228864,\N,\N,\N,0,290.4381164045846,11.602627839351593,62.09269974893298,3.898048,21.56345,2.014050414263352,-21.46918696479387,1.4757366,20.840277000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4318384355378007424,\N,\N,\N,0,294.0057292155468,15.59871595756036,101.08168901119824,3.468207,69.05083,34.900057630800106,-59.581901947996066,1.3777858,20.618402000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4371611781971072768,\N,\N,\N,1,267.6016120498805,-0.2699546483235058,108.58090208988928,0.19848228,443.8224,-397.4972227831272,197.4189999392644,1.053295,\N,\N,16.678308000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4506561028799937280,\N,\N,\N,0,286.03406027446886,14.024852063801598,42.65410197282007,3.6845417,17.223364,4.948582818451912,-16.497144759527846,1.2204285,20.518063000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4548562269906020352,\N,\N,\N,1,258.95767849848045,19.000090899565294,73.38289003014775,0.089917146,89.24101,-88.18808588975392,13.668218525485832,2.112109,12.034219000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4561968267282882688,\N,\N,\N,1,254.7900727747192,20.971647569197195,50.95455820388791,0.19886576,139.44669,-22.838032203215768,137.563814011025,2.1712065,12.535300000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4586421272742268544,\N,\N,\N,1,275.8677047967366,28.16659386869418,67.35307253186818,0.06997297,216.98518,-95.76131241071779,-194.7109172825,0.81149733,13.531994000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4883809068923718272,\N,\N,\N,1,62.231264863064055,-31.48275123735942,55.46186514837462,0.11448127,216.24712,-19.65756097557873,-215.35178828235513,1.1082023,16.191395000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4937000898856154624,\N,\N,HD 13445B,1,32.62406949532682,-50.820823199984886,92.61605633781821,0.15740973,2282.4045,2168.8860111330646,710.8477271238621,4.4071383,13.088840500000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 495091536024630656,\N,\N,\N,1,61.48760165228111,71.27553441239117,54.58814911966968,0.08793817,413.7366,166.65987674753654,-378.6851756557383,0.7622494,14.638643000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5260451999698559872,\N,\N,\N,1,97.69447071943821,-76.71691328105032,112.59875347455532,0.1308523,447.42868,-14.368533115735644,447.1978956242919,2.2610457,13.445630000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5264749303457104384,\N,\N,HD 43834B,1,92.55898132002659,-74.75420492762049,97.86660800672941,0.089776866,218.40216,96.50002237962178,-195.92664962800228,1.4341322,12.365336000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5443030200460964480,\N,\N,\N,1,160.29020717579056,-36.896327573165614,62.624296998527115,0.14477155,211.48409,152.82305713807193,-146.1869664000979,3.6187582,\N,10.086929000000000000000000000000,8.826408000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5550862879207742976,\N,\N,\N,1,99.29778174136884,-50.038871956620994,66.53870298197629,0.02494527,189.63593,189.61015177209583,3.126485092223062,1.5690067,11.169620500000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5753687109122994048,\N,\N,\N,1,128.9248121022928,-8.321818266749506,138.31472927732594,0.21448307,614.016,-534.811292968522,301.6496730172588,1.4177389,\N,\N,16.847324000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5849857955274475520,\N,\N,\N,0,220.43676921846208,-64.66916473641378,42.55845589957384,3.3574364,10.594529,-9.927924519029505,-3.698698186255924,0.9850437,20.948887000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5853367424600100096,\N,\N,\N,0,215.4792068694381,-63.35829070246342,40.5904156142257,3.4476755,19.33247,-19.11063592515574,-2.9202675366165125,1.6264987,20.707253000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 5881065565627395584,\N,\N,\N,0,223.38655175482268,-56.35279896530434,46.07736093171916,1.940108,10.908068,9.771645302575731,4.8477719443405265,2.1856446,19.542095000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 598180818531355776,\N,\N,\N,1,130.68682506674955,9.554204202169224,64.63627135864563,0.09052826,610.5805,203.23066574639645,-575.7654544779928,1.9416103,12.000150000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6000386835153463680,\N,\N,\N,1,230.0053521012974,-44.379927865510055,54.19028189596676,0.52426606,753.2671,-641.85167477211,-394.25596639446616,0.9334889,19.838758000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6029092609878604160,\N,\N,\N,0,257.77239596420094,-29.448473981687044,47.52532103824708,2.0804996,42.05085,-39.597174819949984,14.15407055503204,1.5499281,20.291456000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6033173275476639360,\N,\N,\N,0,254.95796463997976,-28.132990187784053,46.97011398650376,3.0388114,45.521267,-45.36387371201684,-3.7821683087572056,1.5482846,20.491726000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6176833918555679488,\N,\N,HD 121271B,1,208.75995337029573,-29.09063168095458,59.20093736522525,0.10994512,272.80682,-258.20435228332536,-88.05720443155744,1.7068911,11.334182000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6364795328244240256,\N,\N,\N,1,272.81643002055984,-78.98860780809746,85.71192211427798,0.11387588,295.35672,97.70128424404234,278.7293390746022,2.2036557,12.732754000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 6558741070485093632,\N,\N,\N,1,325.48453503023603,-51.3152290256044,63.66473585848063,0.7291768,752.6157,705.7791075293267,-261.35464436825816,1.1609349,\N,\N,18.628100000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 662732115405773824,\N,\N,\N,1,127.90485092635714,19.39629658762344,60.689559682935275,0.14576858,242.45908,-207.4434654728106,-125.51340051237622,2.3676624,12.930710000000000000000000000000,\N,10.643531000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 898506097466756352,\N,\N,\N,1,112.9889963316592,36.21795023145605,83.52137276007491,0.13111259,347.61203,-245.22375214052096,-246.3725571652946,2.03087,12.269101000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 991713927241075840,\N,\N,\N,1,100.95736393067432,51.134953659519425,52.904678252357,0.057830084,916.52466,104.92862821295807,-910.4984694416128,1.4866871,12.560951000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
