"Gaia DR3 5853498713190525696",""
"Gaia DR3 4472832130942575872",""
"Gaia DR3 762815470562110464","95735"
"Gaia DR3 4075141768785646848",""
"Gaia DR3 5164707970261890560","22049"
"Gaia DR3 6553614253923452800","217987"
"Gaia DR3 3796072592206250624",""
"Gaia DR3 1872046609345556480","201091"
"Gaia DR3 1872046574983497216","201092"
"Gaia DR3 2154880616774131840","173739"
"Gaia DR3 2154880616774131712","173740"
"Gaia DR3 385334230892516480","1326"
"Gaia DR3 385334196532776576","1326B"
"Gaia DR3 6412595290592307840","209100"
"Gaia DR3 3139847906307949696",""
"Gaia DR3 4810594479418041856","33793"
"Gaia DR3 2306965202564744064","225213"
"Gaia DR3 1637645127018395776",""
"Gaia DR3 5951824121022278144",""
"Gaia DR3 2603090003484152064",""
"Gaia DR3 823773494718931968","88230"
"Gaia DR3 778947814402602752",""
"Gaia DR3 6562924609150908416","204961"
"Gaia DR3 625453654702751872",""
"Gaia DR3 5955305209191546112",""
"Gaia DR3 4468557611984384512","165341A"
"Gaia DR3 3316364602541746048",""
"Gaia DR3 1129149723913123456",""
"Gaia DR3 3741297293732404352","119850"
"Gaia DR3 939072613334579328","265866"
"Gaia DR3 6882963066420161664",""
"Gaia DR3 2261614264931057664","185144"
"Gaia DR3 3340477717172813568",""
"Gaia DR3 6232511606838403968","131977"
"Gaia DR3 5918660719983560192",""
"Gaia DR3 2739689239311660672",""
"Gaia DR3 4293318823182081408","180617"
"Gaia DR3 6002807341299977216",""
"Gaia DR3 425040000962559616","4614"
"Gaia DR3 4109030160308317312","155885"
"Gaia DR3 4109034455276324608","156026"
"Gaia DR3 4109030160308320128","155886"
"Gaia DR3 3136952686035250688",""
"Gaia DR3 4847957293278177024","20794"
"Gaia DR3 6427464123776727168","190248"
"Gaia DR3 6673000841376349696","191849"
"Gaia DR3 6324325225803432320",""
"Gaia DR3 6322070093095493504",""
"Gaia DR3 1022456139210632064","79210"
"Gaia DR3 1428427236986209024",""
"Gaia DR3 3907283967108054528",""
"Gaia DR3 5243594081269535872",""
"Gaia DR3 4339465360510320128",""
"Gaia DR3 1237090738916392832","131156B"
"Gaia DR3 3988987164339438208",""
"Gaia DR3 1237090738916392704","131156A"
"Gaia DR3 5153091836072107136",""
"Gaia DR3 2828928008202069376","216899"
"Gaia DR3 3864615459886222464",""
"Gaia DR3 3855208897392952192",""
"Gaia DR3 2195886971653527168","199305"
"Gaia DR3 2640434056928150400",""
"Gaia DR3 18565464288396416",""
"Gaia DR3 5975663354131618304","156384C"
"Gaia DR3 2552925644460225152","4628"
"Gaia DR3 6604147121141267712","216803"
"Gaia DR3 4286249341336984576",""
"Gaia DR3 3738099879558957952",""
"Gaia DR3 96331172942614528","10476"
"Gaia DR3 114207651462714880",""
"Gaia DR3 3828238392559860992",""
"Gaia DR3 999747822484300800",""
"Gaia DR3 4177731838628465408","165222"
"Gaia DR3 2161121135533953536",""
"Gaia DR3 5535361753834861312",""
"Gaia DR3 5559035514779971456",""
"Gaia DR3 3288921720025503360","30652"
"Gaia DR3 5559035514776717312",""
"Gaia DR3 6133474952391837824",""
"Gaia DR3 2246206567973292160",""
"Gaia DR3 3735000631158990976",""
"Gaia DR3 4550763526539955712",""
"Gaia DR3 4911306239828325632","10360"
"Gaia DR3 4911306239828325760","10361"
"Gaia DR3 533621859441169920",""
"Gaia DR3 2396530698208685312","217357"
"Gaia DR3 1534011998572555776","109358"
"Gaia DR3 3399063235755057792","39587"
"Gaia DR3 6021430250773348736",""
"Gaia DR3 4900108950849461248","1581"
"Gaia DR3 6378584028690858496",""
"Gaia DR3 3179036008830848",""
"Gaia DR3 3464485826872541440",""
"Gaia DR3 4365609170043180416",""
"Gaia DR3 3101920046552857728","50281B"
"Gaia DR3 3101923001490347392","50281A"
"Gaia DR3 4031586157514097024",""
"Gaia DR3 5951165616611763456","156274"
"Gaia DR3 2627117287488522240",""
"Gaia DR3 6847167606385195648","192310"
"Gaia DR3 4519789321942643072",""
"Gaia DR3 4519789081415296128","349726"
"Gaia DR3 2400808245117576704",""
"Gaia DR3 5260759175761501696",""
"Gaia DR3 3211461469444773376","32147"
"Gaia DR3 2400808142038361088","214479"
"Gaia DR3 3519785523672576384",""
"Gaia DR3 2964001014514075520","38392"
"Gaia DR3 2964000159821218432","38393"
"Gaia DR3 3089711447388931584",""
"Gaia DR3 3478160727866058368",""
"Gaia DR3 1057318835428596096",""
"Gaia DR3 4034171629042489088","103095"
"Gaia DR3 1460229442589223424","114710"
"Gaia DR3 6401464693867773568","203608"
"Gaia DR3 3085716990368639744",""
"Gaia DR3 5381537023379295744","102365B"
"Gaia DR3 5381537023379295232","102365"
"Gaia DR3 5020179503252128768",""
"Gaia DR3 5412250540681250560",""
"Gaia DR3 5664814198431308288",""
"Gaia DR3 4147112604476417792",""
"Gaia DR3 1143321672882274560",""
"Gaia DR3 6078114541943893888",""
"Gaia DR3 628080246633611520",""
"Gaia DR3 1349047857580994560",""
"Gaia DR3 3478127463341507072","100623"
"Gaia DR3 2188318517720321664",""
"Gaia DR3 4025850731201819392","101501"
"Gaia DR3 6779821003058453120",""
"Gaia DR3 5425628298649940608",""
"Gaia DR3 5946986063684477056",""
"Gaia DR3 5946986063671469824",""
"Gaia DR3 6792436799477051904","196982B"
"Gaia DR3 4017860992519744384",""
"Gaia DR3 522863309964987520",""
"Gaia DR3 1314438839310796800","151288"
"Gaia DR3 5699418131466175488",""
"Gaia DR3 3840711729206827520",""
"Gaia DR3 1412645602995521920",""
"Gaia DR3 4358031335898505472","149661"
"Gaia DR3 3243715604392800512",""
"Gaia DR3 272855565763652480","232979"
"Gaia DR3 4535928365908541440",""
"Gaia DR3 1187851653287128576",""
"Gaia DR3 102162639019033600",""
"Gaia DR3 3359074685047632640","260655"
"Gaia DR3 751975660302006784",""
"Gaia DR3 4725889546721486976",""
"Gaia DR3 512167948043650816","10780"
"Gaia DR3 1010729194865571456",""
"Gaia DR3 1661568850770761600","122064"
"Gaia DR3 6012446244330608768",""
"Gaia DR3 4389844948935164544",""
"Gaia DR3 6377828354964753792","223889"
"Gaia DR3 3487062064765702272","103932"
"Gaia DR3 5264749303462961280","43834"
"Gaia DR3 6825822095663585536",""
"Gaia DR3 4999067471248893952",""
"Gaia DR3 5160075762132996992","17925"
"Gaia DR3 3657653114880309248","122303"
"Gaia DR3 5715352842388433664",""
"Gaia DR3 5299440441521812992","304636"
"Gaia DR3 4364527594192166400","154363"
"Gaia DR3 4566158991430299520",""
"Gaia DR3 4364480521350598144","154363B"
"Gaia DR3 4201781696994082944",""
"Gaia DR3 2515037264041041536",""
"Gaia DR3 1051547052218220160",""
"Gaia DR3 436648129327098496","19373"
"Gaia DR3 2683023811628007296","209290"
"Gaia DR3 4078319494857310336",""
"Gaia DR3 2289304297045379456",""
"Gaia DR3 5271055243163629056",""
"Gaia DR3 4295619138933719808",""
"Gaia DR3 2028065934962125184",""
"Gaia DR3 2028065934962124928",""
"Gaia DR3 3689602277083844480","111631"
"Gaia DR3 4937000898856156288","13445"
"Gaia DR3 4574048021719710848",""
"Gaia DR3 1642642957122493824","147379B"
"Gaia DR3 5382868669400908928",""
"Gaia DR3 1642641410934267008","147379"
"Gaia DR3 2090085056523454464",""
"Gaia DR3 3536123338748976256",""
"Gaia DR3 4223813264304668288",""
"Gaia DR3 5213167330349528064",""
"Gaia DR3 2232348941893483520","223778"
"Gaia DR3 1471777269618346240",""
"Gaia DR3 1669449084967071872",""
"Gaia DR3 4846689899968623744",""
"Gaia DR3 3936909723803146368","115404A"
"Gaia DR3 5683871247496205312",""
"Gaia DR3 3796442680948579328","102870"
"Gaia DR3 3936909723803146496","115404B"
"Gaia DR3 4776266794388393472",""
"Gaia DR3 4776266798684508928",""
"Gaia DR3 4310275491469537152",""
"Gaia DR3 4947513157730843136",""
"Gaia DR3 4610177733290768896","166620"
"Gaia DR3 2802397960855105920","3651"
"Gaia DR3 4282578724832056576","176029"
"Gaia DR3 438829629114680704","16895"
"Gaia DR3 1193030490492925824","142860"
"Gaia DR3 5571142580908768384",""
"Gaia DR3 1508886439891509248",""
"Gaia DR3 438829835272390784",""
"Gaia DR3 1208695640675619584",""
"Gaia DR3 1508886439891508736",""
"Gaia DR3 5528866839863569024","74576"
"Gaia DR3 6294928369390563968",""
"Gaia DR3 798068905726303232","82885"
"Gaia DR3 145421309108301184","28343"
"Gaia DR3 1332966881549315456",""
"Gaia DR3 709563717249089792",""
"Gaia DR3 6746465363623545984",""
"Gaia DR3 2560771312759450496",""
"Gaia DR3 2109049433075668480",""
"Gaia DR3 1612801833587498240",""
"Gaia DR3 3912369208386557440",""
"Gaia DR3 386655019234959872",""
"Gaia DR3 3059182338820698624",""
"Gaia DR3 3560746351897773952",""
"Gaia DR3 614543647497149056",""
"Gaia DR3 4946938113149426944","16157"
"Gaia DR3 392350008432819328",""
"Gaia DR3 5159273530961537280",""
"Gaia DR3 6409685433069148288",""
"Gaia DR3 1118916397393675648","75632B"
"Gaia DR3 6114232433761438208",""
"Gaia DR3 1118916397395366656","75632A"
"Gaia DR3 1236929488664453376","131511"
"Gaia DR3 605079910398496640",""
"Gaia DR3 5334356223546958464","99279B"
"Gaia DR3 5895265380327966464",""
"Gaia DR3 4763906879239461632","33262"
"Gaia DR3 3060641356390249728",""
"Gaia DR3 1586968533015434624",""
"Gaia DR3 1776317182780536064",""
"Gaia DR3 4721111481504887040",""
"Gaia DR3 3100542495921276160",""
"Gaia DR3 5866992641380992256","125072"
"Gaia DR3 6608187792013441792",""
"Gaia DR3 1071194431653425280",""
"Gaia DR3 6885776098199761024",""
"Gaia DR3 732857558276385664","97101"
"Gaia DR3 732856080807636224","97101B"
"Gaia DR3 514923083669786112",""
"Gaia DR3 4518262684390915200",""
"Gaia DR3 898506093171335424",""
"Gaia DR3 3988689609004982912","95650"
"Gaia DR3 6539166877292779264",""
"Gaia DR3 1891598193816300544","210027"
"Gaia DR3 2979590513145784192",""
"Gaia DR3 3838384617141390208",""
"Gaia DR3 898506166187633280",""
"Gaia DR3 354077348697687424",""
"Gaia DR3 4722135642226902656","20807"
"Gaia DR3 4508377078422114944",""
"Gaia DR3 4722111590409480064","20766"
"Gaia DR3 5808612830236138368","147584"
"Gaia DR3 2070115588901082368",""
"Gaia DR3 1341113541156480768",""
"Gaia DR3 4055579464064558592",""
"Gaia DR3 3683687763520080384","110379J"
"Gaia DR3 5640565607657897728","72673"
"Gaia DR3 3407785622839603968",""
"Gaia DR3 6579485487647973888",""
"Gaia DR3 2768048564768256512",""
"Gaia DR3 4609689240889873280",""
"Gaia DR3 4733113441195646592",""
"Gaia DR3 263916742385357056","233153"
"Gaia DR3 2863419584886542080",""
"Gaia DR3 263916708025623680","37394"
"Gaia DR3 3569610404187997696",""
"Gaia DR3 4698037645878876800",""
"Gaia DR3 5185165891628969984",""
"Gaia DR3 1117132130541140736",""
"Gaia DR3 4996141155411983744",""
"Gaia DR3 6471497502884511232","196877"
"Gaia DR3 6637963425890391552","175224B"
"Gaia DR3 883439489632629120",""
"Gaia DR3 2525276565243086080",""
"Gaia DR3 4705628051386514304",""
"Gaia DR3 5538156819768871552",""
"Gaia DR3 1149727977380998784",""
"Gaia DR3 3278325004913943808",""
"Gaia DR3 6456884409233519360",""
"Gaia DR3 6709964635600548992",""
"Gaia DR3 188771135583573504","34411"
"Gaia DR3 5726982995343100928","69830"
"Gaia DR3 14912165107085184",""
"Gaia DR3 704967037090946688","75732"
"Gaia DR3 5413438219396893568",""
"Gaia DR3 6636988399594203648",""
"Gaia DR3 3412806512623627008",""
"Gaia DR3 1958030617647715328",""
"Gaia DR3 5339892367684811520","304043"
"Gaia DR3 3915363693944966528",""
"Gaia DR3 1172618435080418176",""
"Gaia DR3 4247023886053586304","190007"
"Gaia DR3 4646616923022587136",""
"Gaia DR3 3575733210781078016","104304"
"Gaia DR3 3517841209157902720",""
"Gaia DR3 5776161813992756992",""
"Gaia DR3 3517841140438425600",""
"Gaia DR3 3852570413083923072","82106"
"Gaia DR3 1637110042813188608","158633"
"Gaia DR3 5924187617032756736",""
"Gaia DR3 985610542491481984",""
"Gaia DR3 3767878708888402816",""
"Gaia DR3 4919497979411495296",""
"Gaia DR3 5117974602912370432","14412"
"Gaia DR3 6427708902553822592",""
"Gaia DR3 5315595737654226304",""
"Gaia DR3 6018047019138644480","147513"
"Gaia DR3 3555173782156353536",""
"Gaia DR3 1244644727396803584",""
"Gaia DR3 3521407509481957120",""
"Gaia DR3 3338162729799839104",""
"Gaia DR3 853819947756949120","90839"
"Gaia DR3 2717105133036645760",""
"Gaia DR3 1094235934764378112",""
"Gaia DR3 4780166972587269120","27274"
"Gaia DR3 5165286828773802880",""
"Gaia DR3 1175938925836488448",""
"Gaia DR3 505516521175942784",""
"Gaia DR3 6072726969332631552",""
"Gaia DR3 3144499458967932672",""
"Gaia DR3 5690846274384548864",""
"Gaia DR3 2395413147718069504",""
"Gaia DR3 1800808220175220480",""
"Gaia DR3 5690980582306104448",""
"Gaia DR3 848178083009862656",""
"Gaia DR3 5497072086021346688",""
"Gaia DR3 409824168780424832",""
"Gaia DR3 4093301474693288960","170657"
"Gaia DR3 2980492387558410112","30495"
"Gaia DR3 6721432232656218752","166348"
"Gaia DR3 1605198298364601088","128165"
"Gaia DR3 3411339626674506624","29697"
"Gaia DR3 4741883764414703232",""
"Gaia DR3 2009439555118168832",""
"Gaia DR3 4347870370990204928",""
"Gaia DR3 6173812151364882688",""
"Gaia DR3 1714831771000745344",""
"Gaia DR3 6608490501308343168","214749"
"Gaia DR3 211810233512673792",""
"Gaia DR3 2430731144829585280",""
"Gaia DR3 4248817876711932416",""
"Gaia DR3 4971869092631523200",""
"Gaia DR3 4941774600386872960",""
"Gaia DR3 4971681351020953088",""
"Gaia DR3 1503625448550796032",""
"Gaia DR3 3652796572020424448",""
"Gaia DR3 4103671243754951296",""
"Gaia DR3 5684037136313018368",""
"Gaia DR3 5481843025342799104",""
"Gaia DR3 205533465225342208",""
"Gaia DR3 1451450048399808384","120476A"
"Gaia DR3 2047690533883897856",""
"Gaia DR3 3765772972322477696",""
"Gaia DR3 2679694971455927296",""
"Gaia DR3 5934097210481810432",""
"Gaia DR3 3073508528645520000",""
"Gaia DR3 3592769731134725248",""
"Gaia DR3 555032443207370880",""
"Gaia DR3 269067920001221888",""
"Gaia DR3 348020482735930112","9826"
"Gaia DR3 4453239765733463936",""
"Gaia DR3 1473166433840437888",""
"Gaia DR3 2110336583235233536",""
"Gaia DR3 798914636327665536",""
"Gaia DR3 144312344255035392",""
"Gaia DR3 461701979233050624",""
"Gaia DR3 461701979229013376",""
"Gaia DR3 4296708789289490816","188512B"
"Gaia DR3 6166376978860425600",""
"Gaia DR3 4548562265603840768",""
"Gaia DR3 5914096303621755520","154577"
"Gaia DR3 1446540213584440704",""
"Gaia DR3 2891695137006940544",""
"Gaia DR3 2710189960812052736",""
"Gaia DR3 2860924621205256704","166"
"Gaia DR3 6329012134635132544",""
"Gaia DR3 2756363608023588864","222368"
"Gaia DR3 266846631637524864",""
"Gaia DR3 5599170330597007360",""
"Gaia DR3 170639948323693952","281621"
"Gaia DR3 777254360337133312","95128"
"Gaia DR3 2034581091118259328","331161A"
"Gaia DR3 3263836568394170880","22484"
"Gaia DR3 3411398347466374144",""
"Gaia DR3 5107106033552702208","23356"
"Gaia DR3 6734485286788609664",""
"Gaia DR3 5031808453624044800","5133"
"Gaia DR3 4726357491998516480",""
"Gaia DR3 567659818855055488",""
"Gaia DR3 4785886941312921344",""
"Gaia DR3 2034581091125010048","331161B"
"Gaia DR3 622339455521105280",""
"Gaia DR3 1350714133093019904",""
"Gaia DR3 6508776375901968640","211415"
"Gaia DR3 6018209128388194688",""
"Gaia DR3 948039989652369408",""
"Gaia DR3 5059348952161258624","20010"
"Gaia DR3 3531294008802299392",""
"Gaia DR3 2910909931633597312",""
"Gaia DR3 2644439955745152512",""
"Gaia DR3 6288325222245417856","120467"
"Gaia DR3 87921523897823872",""
"Gaia DR3 3057712223051571200","61606"
"Gaia DR3 1466009540856759680",""
"Gaia DR3 3197487123332369536",""
"Gaia DR3 4568060562432051584",""
"Gaia DR3 982389862479141376",""
"Gaia DR3 2526862202360516224",""
"Gaia DR3 3057712188691831936","61606B"
"Gaia DR3 4055585060376248832","318327"
"Gaia DR3 6863536001631204608","188088B"
"Gaia DR3 4345775217221821312","146233"
"Gaia DR3 6863535898551993472","188088"
"Gaia DR3 6662167868705713664",""
"Gaia DR3 1229089524081628416",""
"Gaia DR3 3342958387205080064",""
"Gaia DR3 5189170557793054848",""
"Gaia DR3 5970956070030449792","150689"
"Gaia DR3 2302668860880387072",""
"Gaia DR3 4865016349710062208",""
"Gaia DR3 3928391218812375808",""
"Gaia DR3 1510834911934401152","234078"
"Gaia DR3 5129338021224785408","17206"
"Gaia DR3 4258375617747092864","173818"
"Gaia DR3 6798111177125746944",""
"Gaia DR3 1534239391319888384",""
"Gaia DR3 1439069444391326208",""
"Gaia DR3 1379500756257031808","144579"
"Gaia DR3 5661077924778519552",""
"Gaia DR3 646818024623804416",""
"Gaia DR3 70051608089857536","23453"
"Gaia DR3 2051984436005124480",""
"Gaia DR3 573273684709125504",""
"Gaia DR3 943688191349024000",""
"Gaia DR3 4291123545113039616","184489"
"Gaia DR3 3758629475341196672",""
"Gaia DR3 1439121018358632832","160269"
"Gaia DR3 6910371005081903488",""
"Gaia DR3 1092545710514654464","72905"
"Gaia DR3 5046323965616929792",""
"Gaia DR3 1078773262224027520","97584"
"Gaia DR3 1078773262224027648","97584B"
"Gaia DR3 2887328533953284096",""
"Gaia DR3 5842905399625203328",""
"Gaia DR3 2611163717366876544","216133"
"Gaia DR3 1604859511344724864","126660"
"Gaia DR3 6245870673116518784",""
"Gaia DR3 5329084752471816192",""
"Gaia DR3 1965478468902062464",""
"Gaia DR3 4772342676044749952",""
"Gaia DR3 1284721994948665216",""
"Gaia DR3 3394298532176344960","35171"
"Gaia DR3 4975847194422433280",""
"Gaia DR3 3400292798990117888","35296"
"Gaia DR3 1604859408265509632","126660B"
"Gaia DR3 1333760419707327744","157214"
"Gaia DR3 4094679437572611712",""
"Gaia DR3 2395031273585836288","221503"
"Gaia DR3 6171492113110925312","120036B"
"Gaia DR3 89593331327905536",""
"Gaia DR3 1155276250492687616",""
"Gaia DR3 4470812298018311296",""
"Gaia DR3 3299381442858615936",""
"Gaia DR3 672091364541849344",""
"Gaia DR3 383426372059603712",""
"Gaia DR3 6748796396992580352",""
"Gaia DR3 4714117865996976768",""
"Gaia DR3 6748796362632835968",""
"Gaia DR3 1123140411831352064",""
"Gaia DR3 348515297330773120","10307"
"Gaia DR3 5994771148252505216","142709"
"Gaia DR3 5902750168276592256","136352"
"Gaia DR3 4477025122831072768",""
"Gaia DR3 139860666488305664",""
"Gaia DR3 4423865487962417024","140538A"
"Gaia DR3 1014058103758571520",""
"Gaia DR3 3143635723866162432",""
"Gaia DR3 393621524910343296",""
"Gaia DR3 5835498883232034816","144628"
"Gaia DR3 4586421272746553472",""
"Gaia DR3 6465749496610128512","205390"
"Gaia DR3 2995725777563537792","40136"
"Gaia DR3 4660766641264343552","36705B"
"Gaia DR3 4701057557644479232",""
"Gaia DR3 6385548541499112448",""
"Gaia DR3 746545172372256384","86728"
"Gaia DR3 2043885295914531072","176051A"
"Gaia DR3 1923896725839633024",""
"Gaia DR3 2379962604166006016",""
"Gaia DR3 4315804351350378496","182572"
"Gaia DR3 5663558453071724288","84117"
"Gaia DR3 3489338019475637760","105452"
"Gaia DR3 1209281444150517120",""
"Gaia DR3 6518076316215261568",""
"Gaia DR3 1138963758544545280",""
"Gaia DR3 1209281375431039104",""
"Gaia DR3 3850237416912716928",""
"Gaia DR3 4581486217883307008",""
"Gaia DR3 1159745146784043264",""
"Gaia DR3 2467242352575094784",""
"Gaia DR3 4975284381908412672","4391"
"Gaia DR3 2918040883015489408",""
"Gaia DR3 6366571314402539008",""
"Gaia DR3 3015684005638599168",""
"Gaia DR3 5885471411757745408",""
"Gaia DR3 892348454394856064","60179C"
"Gaia DR3 3127503620545728128",""
"Gaia DR3 1889703529122914560",""
"Gaia DR3 3127574019351694848",""
"Gaia DR3 3968118399284369280",""
"Gaia DR3 1631591147276525696",""
"Gaia DR3 5183110874332308480",""
"Gaia DR3 2920772722738017920","52698"
"Gaia DR3 2136665454312416128",""
"Gaia DR3 6319027263385067264",""
"Gaia DR3 5309974484478157696",""
"Gaia DR3 4510987662629223424","229793"
"Gaia DR3 3023711269067191296","38858"
"Gaia DR3 5482827676662168832",""
"Gaia DR3 5588607120530408832","63077"
"Gaia DR3 6009538585839374336","140901"
"Gaia DR3 890284258753196544",""
"Gaia DR3 4934923028038871296","7570"
"Gaia DR3 1573086507223498496",""
"Gaia DR3 3858896247076028288",""
"Gaia DR3 1573086442800134272","238090"
"Gaia DR3 2905516483501493120",""
"Gaia DR3 3724242219117947904","122742"
"Gaia DR3 3256334497479041024","24916A"
"Gaia DR3 2507016253701863040",""
"Gaia DR3 5170039467784804096","21197"
"Gaia DR3 3479221035031532416",""
"Gaia DR3 5588141992752796800",""
"Gaia DR3 3256334497479304832","24916B"
"Gaia DR3 117709729140217216",""
"Gaia DR3 6096529059601571200",""
"Gaia DR3 2620145937091715072",""
"Gaia DR3 2312376723918929920",""
"Gaia DR3 2213428064767263360",""
"Gaia DR3 3278137572540701056",""
"Gaia DR3 4896480390678599168",""
"Gaia DR3 1683609076745527680",""
"Gaia DR3 5408648849826522112",""
"Gaia DR3 2797745549200773120",""
"Gaia DR3 1791995119082190848",""
"Gaia DR3 6564091190988411520","207129"
"Gaia DR3 2835207319109249920","217014"
"Gaia DR3 5329751125239019392",""
"Gaia DR3 1635375460142367104","153597"
"Gaia DR3 1083242222939300480",""
"Gaia DR3 6260386975385254656","139763"
"Gaia DR3 3774789959807192064",""
"Gaia DR3 2046207670631964928","182488"
"Gaia DR3 4880837088995983360",""
"Gaia DR3 4240815184408080512",""
"Gaia DR3 5945941905576552064","160691"
"Gaia DR3 1833199729671740800","190404"
"Gaia DR3 3134682194522547968",""
"Gaia DR3 1244571953471006720","120136"
"Gaia DR3 3845035696121944576",""
"Gaia DR3 6572227714472220288",""
"Gaia DR3 6143501502007380608",""
"Gaia DR3 4880837088995421952",""
"Gaia DR3 2636589099125426816","217580"
"Gaia DR3 5970189332424492160","152705"
"Gaia DR3 3244915072792668416",""
"Gaia DR3 3213958769587525888","34673"
"Gaia DR3 1235125877277843840",""
"Gaia DR3 6614285855300051840","213042"
"Gaia DR3 5970189504223192960",""
"Gaia DR3 1655482224982135040",""
"Gaia DR3 5943550124208359552",""
"Gaia DR3 6328672145023976960","127339"
"Gaia DR3 3345968334645285376","41593"
"Gaia DR3 5970189504209690496",""
"Gaia DR3 6579894402894605824",""
"Gaia DR3 5805810454276181120",""
