designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
Gaia DR3 1542896911520969600,HIP 61722,\N,189.772,47.03921271467097,43.521621325684166,0.0449997,402.45773,384.6679528850013,-118.33338956810591,1.5318718,11.208411,12.467017,10.094098,3204.925,3203.5374,3227.1992,4.0657,4.0571,4.0935,-0.8859,-0.8912,-0.8144,23.1332,23.0006,24.2372,9.401936329553813,0.002245220624415,8.28762332955381,0.0022452206244141,2.372919,12.13,189.76820008,47.04002676,12 39 04.37,+47 02 24.1,39.08,4.64,25.5885,386.77,-121.31,\N,\N,10.089772775233676,0.2590425262401208,\N,\N,\N,\N
Gaia DR3 1322906861255829376,HIP 79551,\N,243.483,33.772960984010666,44.2673512452419,0.15864198,300.69302,-286.96507877317606,-89.81838022886134,9.261864,11.26897,12.50771,10.082348,3199.17,3195.0435,3212.4573,4.1004,4.0425,4.1139,-0.7741,-0.7842,-0.7251,23.3181,22.9283,26.8689,9.49938768285672,0.0077819916403072,8.312765682856721,0.0077819916403072,2.425362,12.23,243.48522252,33.77361984,16 13 56.45,+33 46 25.0,43.82,5.69,22.8206,-263.04,-82.85,\N,\N,10.438361866123431,0.2835653026445337,\N,\N,\N,\N
Gaia DR3 4591351448523805312,HIP 88976,\N,272.42,31.87110904160557,45.881824660287165,0.012740267,201.52567,45.98250684487419,196.2095907801065,1.1445069,10.573041,11.628151,9.553413,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.881244404487118,0.0006029650999339,7.861616404487119,0.0006029650999335,2.074738,11.38,272.41951352,31.86975819,18 09 40.68,+31 52 11.1,43.68,7.73,22.8938,54.4,190.54,\N,\N,9.581413148483405,0.3883717728703306,\N,\N,\N,\N
Gaia DR3 1328078796458810240,HIP 81655,\N,250.203,36.317474202050704,46.56686107714524,0.051853403,212.79326,-118.82398735976447,176.52713105897348,3.9046035,10.566055,11.735893,9.490576,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.906439822601284,0.0024179916337043,7.830960822601284,0.0024179916337048,2.245317,11.45,250.20414758,36.31626548,16 40 49.00,+36 18 58.6,51.88,4.66,19.2753,-140.17,179.29,\N,\N,10.024999837060212,0.1955745535269804,\N,\N,\N,\N
Gaia DR3 793785826901083520,HIP 47395,\N,144.85,31.75379331688525,46.96954978298262,0.04243176,284.64246,-194.38464918697383,-207.93251068808647,0.9900129,10.923082,12.066908,9.857973,3554.7136,3542.0342,3567.5305,4.7389,4.7182,4.7553,-0.3327,-0.4275,-0.2341,21.4501,20.8018,22.79,9.282163986811138,0.0019616841468206,8.217054986811135,0.0019616841468197,2.208935,11.77,144.85175347,31.75522522,09 39 24.42,+31 45 18.8,41.66,3.97,24.0038,-190.3,-207.7,\N,\N,9.868596328058636,0.2075608283076393,\N,\N,\N,\N
Gaia DR3 6155259541913716608,HIP 63480,\N,195.107,-34.60639149497172,47.5075193899691,0.018831776,98.72825,-59.09090787498475,79.09191664126787,1.1298051,9.851435,10.849304,8.8605585,3727.3867,3712.0713,3741.88,4.58,4.5609,4.5963,-0.3137,-0.4369,-0.1933,21.0615,20.9526,21.2427,8.235246771399991,0.000860762352425,7.2443702713999905,0.0008607623524254,1.9887455,10.6,195.10766961,-34.60693447,13 00 25.84,-34 36 25.0,49.95,1.78,20.02,-57.74,77.77,12.379,10.854,9.092677462810006,0.0774145802366224,9.346677462810005,0.07741458023662151,\N,1.525
Gaia DR3 1542683331386097280,HIP 62374,\N,191.749,46.62460922316663,49.50871021281189,0.03362902,817.83636,-761.3563202893189,-298.6517545580601,1.0335819,10.724394,11.998352,9.597057,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.197802061797296,0.0014749828869717,8.070465061797295,0.0014749828869717,2.401295,11.71,191.75683366,46.62666333,12 47 01.64,+46 37 36.0,49.89,2.32,20.0441,-761.46,-297.61,\N,\N,10.20006751969591,0.1010513544770352,\N,\N,\N,\N
Gaia DR3 5059643105878789632,HIP 14555,\N,46.9806,-28.22022128578243,51.00860644344269,0.018694947,352.95636,-333.93252578346227,-114.312150520049,1.3292198,9.426588,10.383174,8.45547,3599.7278,3581.9426,3651.8374,4.2869,4.2249,4.4218,-0.683,-0.7703,-0.4693,19.6166,19.5596,19.6716,7.964805293779225,0.0007958571358068,6.9936872937792245,0.0007958571358068,1.927704,10.21,46.98322257,-28.21943517,03 07 55.97,-28 13 10.0,52.38,5.03,19.0913,-339.14,-119.54,11.971,10.372,8.805827470446069,0.2091689088208177,8.967827470446068,0.20916890882081773,\N,1.599
Gaia DR3 3177407910705445888,HIP 21086,\N,67.7869,-13.515564765720292,53.47853785030081,0.019237503,269.0745,-164.67186352876146,-212.8009849444797,1.2792518,10.52517,11.784351,9.4088125,3250.524,3221.8745,3410.328,4.1111,4.0214,4.5267,-0.7656,-0.8588,-0.327,18.7133,18.3889,18.9051,9.166067623818584,0.00078113034637,8.049710123818585,0.00078113034637,2.3755385,11.47,67.7880736,-13.5141006,04 31 09.14,-13 30 50.8,49.73,3.24,20.1086,-161.78,-206.99,\N,\N,9.953092296161124,0.1416760668812759,\N,\N,\N,\N
Gaia DR3 6124711741640147712,HIP 69285,\N,212.738,-31.289761728650635,62.81418674511146,0.024177933,344.65985,-320.4518407288122,126.88980296776266,1.1426303,9.931263,11.040014,8.884949,3387.874,3361.264,3455.1235,4.2173,4.1442,4.4247,-0.8484,-0.9265,-0.6073,15.9359,15.8853,16.0614,8.921551706687689,0.0008358257862113,7.87523770668769,0.0008358257862117,2.155065,10.77,212.74033121,-31.29063408,14 10 57.68,-31 17 26.3,58.18,2.14,17.188,-320.7,126.71,\N,\N,9.593868584555205,0.0799080156199512,\N,\N,\N,\N
Gaia DR3 4726357491998516480,HIP 12261,\N,39.4706,-58.75214686390397,71.70433964545545,0.019150116,223.32864,80.14904846450294,208.45098935214327,1.1383134,11.175619,12.662354,9.985541,3160.9446,3160.4658,3163.2708,4.2568,4.2541,4.2589,-1.0427,-1.0435,-1.0381,13.9553,13.9253,14.0199,10.4533462028189,0.0005799363013085,9.263268202818898,0.0005799363013077,2.676813,12.36,39.46958019,-58.75358168,02 37 52.70,-58 45 12.9,67.2,3.03,14.881,78.97,206.57,\N,\N,11.496846365269128,0.0979765728127421,\N,\N,\N,\N
Gaia DR3 2034628782438989440,HIP 97241,\N,296.459,32.38800766266751,72.69998812663229,0.014016836,441.13638,394.29341851204623,197.82320018400253,0.88087445,9.986136,11.092315,8.941459,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.293807699650175,0.0004186681979492,8.249130699650177,0.0004186681979492,2.150856,10.61,296.45614527,32.38665088,19 45 49.47,+32 23 11.9,87.57,4.8,11.4194,387.66,193.87,\N,\N,10.321776748538383,0.1191449710600309,\N,\N,\N,\N
Gaia DR3 1341113541156480768,HIP 84099,\N,257.896,38.44254560681901,83.06866367689253,0.01781857,217.8079,212.68792342388429,-46.94817915362118,1.0543015,10.420489,11.85787,9.238903,3197.2703,3177.3823,3299.817,4.1525,4.0982,4.7521,-1.0463,-1.1091,-0.0903,12.0478,12.0147,12.1694,10.01767512019547,0.0004657897697253,8.83608912019547,0.0004657897697253,2.618967,11.54,257.89412267,38.44286912,17 11 34.59,+38 26 34.3,83.13,2.13,12.0294,211.77,-44.85,\N,\N,11.13878890250947,0.0556507735811591,\N,\N,\N,\N
Gaia DR3 5260759175761501696,HIP 31293,\N,98.425,-75.62874086458727,113.1304474816652,0.016938346,409.2753,-297.95472300752857,280.5873291812589,1.0885247,9.3847475,10.694307,8.24563,3244.3787,3190.7825,3310.0916,4.3838,4.195,4.54,-0.5281,-0.7394,-0.3326,8.8458,8.8087,8.873,9.652645024790807,0.000325121592775,8.51352752479081,0.0003251215927768,2.448677,10.35,98.43325369,-75.63066752,06 33 43.98,-75 37 50.4,114.18,3.18,8.7581,-290.42,278.52,12.29,10.556,10.63795019335332,0.0604928051214228,10.84395019335332,0.060492805121422855,\N,1.734
Gaia DR3 5260759175761502976,HIP 31292,\N,98.439,-75.62380392415764,113.13179107170824,0.0176141,421.0885,-328.7629315452492,263.11682443056657,1.1390804,10.212167,11.677434,9.024885,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10.480090314058405,0.0003380882784158,9.2928083140584,0.0003380882784158,2.652549,11.41,98.44808629,-75.62561416,06 33 47.54,-75 37 32.2,119.54,13.42,8.3654,-308.79,256.54,\N,\N,11.797566257488317,0.2448094128243596,\N,\N,\N,\N
